season,route_id,route_name,train,direction_id,day_type_id,day_type_name,stop_time,stop_id,stopsequence,average_ons,average_offs,average_load,ObjectId
Fall 2024,CR-Greenbush,Greenbush Line,91,0,day_type_01,weekday,2024/01/02 00:05:00+00,Cohasset,8,0,8,35,10531
Fall 2024,CR-Greenbush,Greenbush Line,91,0,day_type_01,weekday,2024/01/02 00:13:00+00,North Scituate,9,0,13,22,10532
Fall 2024,CR-Greenbush,Greenbush Line,91,0,day_type_01,weekday,2024/01/02 00:26:00+00,Greenbush,10,0,22,0,10533
Fall 2024,CR-Greenbush,Greenbush Line,92,1,day_type_01,weekday,2024/01/02 00:41:00+00,Greenbush,1,4,0,4,10534
Fall 2024,CR-Greenbush,Greenbush Line,92,1,day_type_01,weekday,2024/01/02 00:48:00+00,North Scituate,2,0,0,4,10535
Fall 2024,CR-Greenbush,Greenbush Line,92,1,day_type_01,weekday,2024/01/02 00:54:00+00,Cohasset,3,0,2,2,10536
Fall 2024,CR-Greenbush,Greenbush Line,92,1,day_type_01,weekday,2024/01/02 00:57:00+00,Nantasket Junction,4,2,0,4,10537
Fall 2024,CR-Greenbush,Greenbush Line,92,1,day_type_01,weekday,2024/01/02 01:02:00+00,West Hingham,5,3,0,7,10538
Fall 2024,CR-Greenbush,Greenbush Line,92,1,day_type_01,weekday,2024/01/02 01:07:00+00,East Weymouth,6,0,0,7,10539
Fall 2024,CR-Greenbush,Greenbush Line,92,1,day_type_01,weekday,2024/01/02 01:13:00+00,Weymouth Landing/East Braintree,7,1,0,8,10540
Fall 2024,CR-Greenbush,Greenbush Line,92,1,day_type_01,weekday,2024/01/02 01:23:00+00,Quincy Center,8,0,1,7,10541
Fall 2024,CR-Kingston,Kingston Line,54,1,day_type_01,weekday,2024/01/01 19:31:00+00,JFK/UMass,9,7,3,28,10542
Fall 2024,CR-Greenbush,Greenbush Line,93,0,day_type_01,weekday,2024/01/02 02:25:00+00,East Weymouth,5,0,8,23,10543
Fall 2024,CR-Kingston,Kingston Line,66,1,day_type_01,weekday,2024/01/02 04:10:00+00,Kingston,1,1,0,1,10544
Fall 2024,CR-Greenbush,Greenbush Line,83,0,day_type_01,weekday,2024/01/01 19:50:00+00,West Hingham,6,0,8,45,10545
Fall 2024,CR-Kingston,Kingston Line,59,0,day_type_01,weekday,2024/01/01 23:33:00+00,Kingston,10,0,179,0,10546
Fall 2024,CR-Kingston,Kingston Line,66,1,day_type_01,weekday,2024/01/02 04:19:00+00,Halifax,2,0,0,1,10547
Fall 2024,CR-Kingston,Kingston Line,54,1,day_type_01,weekday,2024/01/01 19:39:00+00,South Station,10,0,28,0,10548
Fall 2024,CR-Greenbush,Greenbush Line,93,0,day_type_01,weekday,2024/01/02 02:30:00+00,West Hingham,6,0,3,20,10549
Fall 2024,CR-Greenbush,Greenbush Line,93,0,day_type_01,weekday,2024/01/02 02:34:00+00,Nantasket Junction,7,0,0,20,10550
Fall 2024,CR-Kingston,Kingston Line,66,1,day_type_01,weekday,2024/01/02 04:24:00+00,Hanson,3,0,0,1,10551
Fall 2024,CR-Greenbush,Greenbush Line,73,0,day_type_01,weekday,2024/01/01 13:36:00+00,West Hingham,6,0,1,3,10552
Fall 2024,CR-Greenbush,Greenbush Line,83,0,day_type_01,weekday,2024/01/01 19:54:00+00,Nantasket Junction,7,0,5,40,10553
Fall 2024,CR-Kingston,Kingston Line,55,0,day_type_01,weekday,2024/01/01 20:33:00+00,South Station,1,413,0,413,10554
Fall 2024,CR-Greenbush,Greenbush Line,93,0,day_type_01,weekday,2024/01/02 02:37:00+00,Cohasset,8,0,4,16,10555
Fall 2024,CR-Kingston,Kingston Line,66,1,day_type_01,weekday,2024/01/02 04:29:00+00,Whitman,4,0,0,1,10556
Fall 2024,CR-Greenbush,Greenbush Line,73,0,day_type_01,weekday,2024/01/01 13:40:00+00,Nantasket Junction,7,0,0,3,10557
Fall 2024,CR-Kingston,Kingston Line,60,1,day_type_01,weekday,2024/01/01 23:22:00+00,Kingston,1,2,0,2,10558
Fall 2024,CR-Greenbush,Greenbush Line,83,0,day_type_01,weekday,2024/01/01 19:57:00+00,Cohasset,8,0,7,33,10559
Fall 2024,CR-Kingston,Kingston Line,55,0,day_type_01,weekday,2024/01/01 20:39:00+00,JFK/UMass,2,80,4,489,10560
Fall 2024,CR-Greenbush,Greenbush Line,93,0,day_type_01,weekday,2024/01/02 02:45:00+00,North Scituate,9,0,6,10,10561
Fall 2024,CR-Kingston,Kingston Line,66,1,day_type_01,weekday,2024/01/02 04:33:00+00,Abington,5,0,0,1,10562
Fall 2024,CR-Greenbush,Greenbush Line,73,0,day_type_01,weekday,2024/01/01 13:43:00+00,Cohasset,8,0,0,3,10563
Fall 2024,CR-Kingston,Kingston Line,60,1,day_type_01,weekday,2024/01/01 23:37:00+00,Halifax,2,0,0,2,10564
Fall 2024,CR-Greenbush,Greenbush Line,83,0,day_type_01,weekday,2024/01/01 20:05:00+00,North Scituate,9,0,6,27,10565
Fall 2024,CR-Kingston,Kingston Line,55,0,day_type_01,weekday,2024/01/01 20:48:00+00,Quincy Center,3,4,31,462,10566
Fall 2024,CR-Greenbush,Greenbush Line,93,0,day_type_01,weekday,2024/01/02 02:56:00+00,Greenbush,10,0,9,1,10567
Fall 2024,CR-Kingston,Kingston Line,66,1,day_type_01,weekday,2024/01/02 04:38:00+00,South Weymouth,6,1,0,2,10568
Fall 2024,CR-Greenbush,Greenbush Line,73,0,day_type_01,weekday,2024/01/01 13:51:00+00,North Scituate,9,0,3,0,10569
Fall 2024,CR-Kingston,Kingston Line,60,1,day_type_01,weekday,2024/01/01 23:42:00+00,Hanson,3,1,0,3,10570
Fall 2024,CR-Greenbush,Greenbush Line,83,0,day_type_01,weekday,2024/01/01 20:17:00+00,Greenbush,10,0,25,2,10571
Fall 2024,CR-Kingston,Kingston Line,55,0,day_type_01,weekday,2024/01/01 20:53:00+00,Braintree,4,0,43,419,10572
Fall 2024,CR-Greenbush,Greenbush Line,94,1,day_type_01,weekday,2024/01/02 03:15:00+00,Greenbush,1,1,0,1,10573
Fall 2024,CR-Kingston,Kingston Line,66,1,day_type_01,weekday,2024/01/02 04:48:00+00,Braintree,7,0,2,0,10574
Fall 2024,CR-Greenbush,Greenbush Line,73,0,day_type_01,weekday,2024/01/01 14:04:00+00,Greenbush,10,0,0,0,10575
Fall 2024,CR-Kingston,Kingston Line,60,1,day_type_01,weekday,2024/01/01 23:47:00+00,Whitman,4,4,1,6,10576
Fall 2024,CR-Greenbush,Greenbush Line,84,1,day_type_01,weekday,2024/01/01 18:05:00+00,Greenbush,1,2,0,2,10577
Fall 2024,CR-Kingston,Kingston Line,55,0,day_type_01,weekday,2024/01/01 21:00:00+00,South Weymouth,5,0,95,324,10578
Fall 2024,CR-Greenbush,Greenbush Line,94,1,day_type_01,weekday,2024/01/02 03:22:00+00,North Scituate,2,0,0,1,10579
Fall 2024,CR-Kingston,Kingston Line,67,0,day_type_01,weekday,2024/01/01 05:20:00+00,Braintree,1,4,0,4,10580
Fall 2024,CR-Greenbush,Greenbush Line,84,1,day_type_01,weekday,2024/01/01 18:12:00+00,North Scituate,2,0,0,2,10581
